adduser  3.118
alembic  1.4.3-1
ansible  2.10.7+merged+base+2.10.8+dfsg-1
apt  2.2.4
apt-utils  2.2.4
base-files  11.1+deb11u1
base-passwd  3.5.51
bash  5.1-2+b3
bash-completion  1:2.11-2
bsdutils  1:2.36.1-8
busybox  1:1.30.1-6+b3
bzip2  1.0.8-4
ca-certificates  20210119
coreutils  8.32-4+b1
cpio  2.13+dfsg-4
cron  3.0pl1-137
curl  7.74.0-1.3+b1
dash  0.5.11+git20200708+dd9ef66-5
dbus  1.12.20-2
dbus-user-session  1.12.20-2
dconf-gsettings-backend  0.38.0-2
dconf-service  0.38.0-2
debconf  1.5.77
debconf-i18n  1.5.77
debian-archive-keyring  2021.1.1
debianutils  4.11.2
diffutils  1:3.7-5
dirmngr  2.2.27-2
dmidecode  3.3-2
dmsetup  2:1.02.175-2.1
docutils-common  0.16+dfsg-4
dosfstools  4.2-1
dpkg 1.20.9
e2fsprogs  1.46.2-2
eject 2.36.1-8
fdisk  2.36.1-8
findutils  4.8.0-1
gawk  1:5.1.0-1
gcc-10-base  10.2.1-6
gcc-9-base  9.3.0-22
gdisk  1.0.6-1.1
genisoimage  9:1.1.11-3.2
gettext-base  0.21-4
glib-networking  2.66.0-2
glib-networking-common  2.66.0-2
glib-networking-services  2.66.0-2
gnupg  2.2.27-2
gnupg-l10n  2.2.27-2
gnupg-utils  2.2.27-2
gpg  2.2.27-2
gpg-agent  2.2.27-2
gpgconf  2.2.27-2
gpgsm  2.2.27-2
gpgv  2.2.27-2
gpg-wks-client  2.2.27-2
gpg-wks-server  2.2.27-2
grep  3.6-1
grub2 2.04-20
grub2-common  2.04-20
grub-common  2.04-20
grub-pc 2.04-20
grub-pc-bin 2.04-20
gsettings-desktop-schemas  3.38.0-2
gzip  1.10-4
hostname  3.23
ieee-data  20210605.1
ifupdown  0.8.36
init  1.60
initramfs-tools  0.140
initramfs-tools-core  0.140
init-system-helpers  1.60
iproute2  5.10.0-4
iputils-ping  3:20210202-1
isc-dhcp-client  4.4.1-2.3
isc-dhcp-common  4.4.1-2.3
kbd  2.3.0-3
keyutils  1.6.1-2
klibc-utils  2.0.8-6.1
kmod  28-1
less  551-2
libacl1  2.2.53-10
libapparmor1  2.13.6-10
libapt-pkg6.0  2.2.4
libarchive13  3.4.3-2+b1
libargon2-1  0~20171227-0.2
libassuan0  2.5.3-7.1
libattr1  1:2.4.48-6
libaudit1  1:3.0-2
libaudit-common  1:3.0-2
libavahi-client3  0.8-5
libavahi-common3  0.8-5
libavahi-common-data  0.8-5
libavahi-glib1  0.8-5
libblas3  3.9.0-3
libblkid1  2.36.1-8
libbluetooth3  5.55-3.1
libboost-filesystem1.74.0  1.74.0-9
libboost-locale1.74.0  1.74.0-9
libboost-log1.74.0  1.74.0-9
libboost-nowide1.74.0  1.74.0-9
libboost-program-options1.74.0  1.74.0-9
libboost-regex1.74.0  1.74.0-9
libboost-thread1.74.0  1.74.0-9
libbpf0  1:0.3-2
libbrotli1  1.0.9-2+b2
libbsd0  0.11.3-1
libbz2-1.0  1.0.8-4
libc6  2.31-13+deb11u2
libcap2  1:2.44-1
libcap2-bin  1:2.44-1
libcap-ng0  0.7.9-2.2+b1
libc-bin  2.31-13+deb11u2
libcbor0  0.5.0+dfsg-2
libcom-err2  1.46.2-2
libcpp-hocon0.3.0  0.3.0-1+b2
libcrypt1  1:4.4.18-4
libcryptsetup12  2:2.3.5-1
libcurl3-gnutls  7.74.0-1.3+b1
libcurl4 7.74.0-1.3+b1
libdb5.3  5.3.28+dfsg1-0.8
libdbus-1-3  1.12.20-2
libdconf1  0.38.0-2
libdebconfclient0  0.260
libdevmapper1.02.1  2:1.02.175-2.1
libdns-export1110  1:9.11.19+dfsg-2.1
libdw1  0.183-1
libedit2  3.1-20191231-2+b1
libefiboot1  37-6
libefivar1  37-6
libelf1  0.183-1
libestr0  0.1.10-2.1+b1
libevent-2.1-7  2.1.12-stable-1
libexpat1  2.2.10-2
libext2fs2  1.46.2-2
libfastjson4  0.99.9-1
libfdisk1  2.36.1-8
libffi7  3.3-6
libfido2-1  1.6.0-2
libfreetype6  2.10.4+dfsg-1
libfuse2  2.9.9-5
libgcc-s1  10.2.1-6
libgcrypt20  1.8.7-6
libgdbm6  1.19-2
libgdbm-compat4  1.19-2
libgfortran5  10.2.1-6
libglib2.0-0  2.66.8-1
libgmp10  2:6.2.1+dfsg-1
libgnutls30  3.7.1-5
libgomp1  10.2.1-6
libgpg-error0  1.38-2
libgpgme11  1.14.0-1+b2
libgpm2  1.20.7-8
libgssapi-krb5-2  1.18.3-6+deb11u1
libhogweed6  3.7.3-1
libice6  2:1.0.10-1
libicu67  67.1-7
libidn2-0  2.3.0-5
libip4tc2  1.8.7-1
libisc-export1105  1:9.11.19+dfsg-2.1
libjansson4  2.13.1-1.1
libjs-jquery  3.5.1+dfsg+~3.5.5-7
libjson-c5  0.15-2
libjs-sphinxdoc  3.4.3-2
libjs-underscore  1.9.1~dfsg-3
libk5crypto3  1.18.3-6+deb11u1
libkeyutils1  1.6.1-2
libklibc  2.0.8-6.1
libkmod2  28-1
