acpica-tools 20200925-8
autoconf-archive 20220903-3
autogen 1:5.18.16-5
autogen-doc 1:5.18.16-5
cmake 3.25.1-1
cmake-data 3.25.1-1
docutils-doc 0.19+dfsg-6
doxygen 1.9.4-4
dwarves 1.24-4.1
fonts-mathjax 2.7.9+dfsg-1
g++-12 12.2.0-14
git 1:2.39.2-1.1
git-man 1:2.39.2-1.1
git-review 2.3.1-1
guile-2.2-libs 2.2.7+1-9
hwdata 0.368-1
libcap-dev 1:2.66-4
libclang-cpp16 1:16.0.6-15~deb12u1
libclang1-16 1:16.0.6-15~deb12u1
liberror-perl 0.17029-2
libhwloc-dev 2.9.0-1
libhwloc15 2.9.0-1
libjs-mathjax 2.7.9+dfsg-1
libjson-c-dev 0.16-2
libjsoncpp25 1.9.5-4
libltdl-dev 2.4.7-5
libncurses-dev 6.4-4
libnuma-dev 2.0.16-1
libopts25-dev 1:5.18.16-5
librhash0 1.4.3-3
libsimdjson14 3.0.1-1
libstdc++-12-dev 12.2.0-14
libxapian30 1.4.22-1
pandoc 2.17.1.1-2~deb12u1
pandoc-data 2.17.1.1-2~deb12u1
pkg-config 1.8.1-1
pybind11-dev 2.10.3-1
python3-oslo.messaging 14.0.0-2
python3-prometheus-client 0.16.0-0.1
python-requests-doc 2.28.1+dfsg-1
python3-doc 3.11.2-1
python3-intelhex 2.3.0-2
python3-pybind11 2.10.3-1
python3-thriftpy 0.3.9+ds1-2+b3
python3.11-doc 3.11.2-6
sphinx-doc 5.3.0-4
trace-cmd 3.1.6-1
tree 2.1.0-1
unzip 6.0-28
usb.ids 2024.01.20-0+deb12u1
